City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,moussoro,13.6408,16.4901,20.83,14,100,4.43,TD,1674444081
352,sarangani,5.4033,125.4636,27.25,76,97,1.6,PH,1674444082
353,bulawayo,-20.15,28.5833,17.3,94,100,4.02,ZW,1674444082
354,salalah,17.0151,54.0924,22.05,68,75,2.06,OM,1674444083
355,singapore,1.2897,103.8501,29.58,86,75,3.6,SG,1674443778
356,whitehaven,54.549,-3.5841,7.15,100,100,4.02,GB,1674444085
357,strezhevoy,60.7333,77.5889,-11.67,96,100,2.82,RU,1674444086
358,ayan,56.45,138.1667,-30.15,61,100,5.4,RU,1674444087
359,arrecife,28.963,-13.5477,17.99,63,0,6.69,ES,1674444088
360,westport,41.1415,-73.3579,4.62,89,100,4.63,US,1674443953
361,inuvik,68.3499,-133.7218,-19.58,84,100,3.6,CA,1674444089
362,kruisfontein,-34.0033,24.7314,19.38,94,3,1.79,ZA,1674444090
363,spanish town,17.9911,-76.9574,26.79,65,75,7.2,JM,1674444090
